72,https://en.wikipedia.org/wiki/!Ay,_Carmela!_(film),"abc","See alsoNotes"
73,https://en.wikipedia.org/wiki/!Ay,_Carmela!_(film),"Edwards, Indecent Exposures, p. 130","See alsoNotes"
74,https://en.wikipedia.org/wiki/!Ay,_Carmela!_(film),"abcde","See alsoNotes"
75,https://en.wikipedia.org/wiki/!Ay,_Carmela!_(film),"Edwards, Indecent Exposures, p. 117","See alsoNotes"
76,https://en.wikipedia.org/wiki/!Ay,_Carmela!_(film),"^","See alsoNotes"
77,https://en.wikipedia.org/wiki/!Ay,_Carmela!_(film),"Schwartz, The Great Spanish Films, p. 102","See alsoNotes"
78,https://en.wikipedia.org/wiki/!Bastardos!,""You Can't Stop Thinking About Me" (Chan Kinchla, John Popper) – 4:24","Track listing"
79,https://en.wikipedia.org/wiki/!Bastardos!,""Amber Awaits" (Chan and Tad Kinchla, Popper) – 3:47","Track listing"
80,https://en.wikipedia.org/wiki/!Bastardos!,""After What" (Popper, Wilson) – 3:34","Track listing"
81,https://en.wikipedia.org/wiki/!Bastardos!,""Money Back Guarantee" (Popper, Wilson) – 3:48","Track listing"
82,https://en.wikipedia.org/wiki/!Bastardos!,""Can't Win True Love" (Popper) – 4:57","Track listing"
83,https://en.wikipedia.org/wiki/!Bastardos!,""Nail" (Popper, Wilson) – 3:06","Track listing"
84,https://en.wikipedia.org/wiki/!Bastardos!,""Leaning In" (Popper, Wilson) – 3:48","Track listing"
85,https://en.wikipedia.org/wiki/!Bastardos!,""She and I" (Tad Kinchla, Popper) – 4:51","Track listing"
86,https://en.wikipedia.org/wiki/!Bastardos!,""Rubberneck" (Tad Kinchla, Popper) – 3:11","Track listing"
87,https://en.wikipedia.org/wiki/!Bastardos!,""Nefertiti" (Tad Kinchla, Popper) – 4:15","Track listing"
88,https://en.wikipedia.org/wiki/!Bastardos!,""What Could Possibly Go Wrong" (Chan Kinchla, Popper) – 2:47","Track listing"
89,https://en.wikipedia.org/wiki/!Bastardos!,""That Which Doesn't Kill You" (Chan Kinchla, Popper) – 4:12","Track listing"
90,https://en.wikipedia.org/wiki/!Bastardos!,""She Isn't Mine" (Popper) – 3:18","Track listing"
91,https://en.wikipedia.org/wiki/!Bastardos!,""The Children of the Night" (Brendan Hill, Popper) – 6:31","Track listing"
92,https://en.wikipedia.org/wiki/!Bastardos!_(album),""You Can't Stop Thinking About Me" (Chan Kinchla, John Popper) – 4:24","Track listing"
93,https://en.wikipedia.org/wiki/!Bastardos!_(album),""Amber Awaits" (Chan and Tad Kinchla, Popper) – 3:47","Track listing"
94,https://en.wikipedia.org/wiki/!Bastardos!_(album),""After What" (Popper, Wilson) – 3:34","Track listing"
95,https://en.wikipedia.org/wiki/!Bastardos!_(album),""Money Back Guarantee" (Popper, Wilson) – 3:48","Track listing"
96,https://en.wikipedia.org/wiki/!Bastardos!_(album),""Can't Win True Love" (Popper) – 4:57","Track listing"
97,https://en.wikipedia.org/wiki/!Bastardos!_(album),""Nail" (Popper, Wilson) – 3:06","Track listing"
98,https://en.wikipedia.org/wiki/!Bastardos!_(album),""Leaning In" (Popper, Wilson) – 3:48","Track listing"
99,https://en.wikipedia.org/wiki/!Bastardos!_(album),""She and I" (Tad Kinchla, Popper) – 4:51","Track listing"
100,https://en.wikipedia.org/wiki/!Bastardos!_(album),""Rubberneck" (Tad Kinchla, Popper) – 3:11","Track listing"
101,https://en.wikipedia.org/wiki/!Bastardos!_(album),""Nefertiti" (Tad Kinchla, Popper) – 4:15","Track listing"
102,https://en.wikipedia.org/wiki/!Bastardos!_(album),""What Could Possibly Go Wrong" (Chan Kinchla, Popper) – 2:47","Track listing"
103,https://en.wikipedia.org/wiki/!Bastardos!_(album),""That Which Doesn't Kill You" (Chan Kinchla, Popper) – 4:12","Track listing"
104,https://en.wikipedia.org/wiki/!Bastardos!_(album),""She Isn't Mine" (Popper) – 3:18","Track listing"
105,https://en.wikipedia.org/wiki/!Bastardos!_(album),""The Children of the Night" (Brendan Hill, Popper) – 6:31","Track listing"
106,https://en.wikipedia.org/wiki/!Bastardos_en_Vivo!,""You Can't Stop Thinking About Me" (Chan Kinchla, John Popper) – 4:24","Track listing"
